d,callv,putv,totv,otm_call_0dte
2025-06-06,905527,860826,1766353,227669
2025-06-09,707482,612256,1319738,135031
2025-06-10,647266,512223,1159489,107711
2025-06-11,942425,534982,1477407,172616
2025-06-12,754119,662908,1417027,135057
2025-06-13,1080342,981722,2062064,404344
2025-06-16,805687,951604,1757291,125036
2025-06-17,781856,701944,1483800,155135
2025-06-18,681242,575164,1256406,157662
2025-06-20,1197985,1017087,2215072,1042840
2025-06-23,881476,1014015,1895491,236786
2025-06-24,906483,930996,1837479,99068
2025-06-25,805844,772092,1577936,146111
2025-06-26,775923,778101,1554024,39126
2025-06-27,1088441,787915,1876356,169958
2025-06-30,633165,675173,1308338,149004
2025-07-01,894316,643607,1537923,205572
2025-07-02,871353,587764,1459117,24770
2025-07-03,1046973,834123,1881096,60377
